FID,Id,pointID,WT,line,rep,lat,Long
0,0,2_WW1i,WW,2,1,42.165031223299998,3.093866657600000
1,0,2_WW1f,WW,2,1,42.165118083400003,3.093872858140000
2,0,2_OW1i,OW,2,1,42.165212659900000,3.093884985670000
3,0,2_OW1f,OW,2,1,42.165284203900001,3.093891322350000
4,0,2_WD1i,WD,2,1,42.165368780500003,3.093892687160000
5,0,2_WD1f,WD,2,1,42.165433669199999,3.093890844830000
6,0,4_WD2i,WD,4,2,42.164925197899997,3.093945819480000
7,0,4_WD2f,WD,4,2,42.164985587600000,3.093946761170000
8,0,4_WW2i,WW,4,2,42.165105664499997,3.093956516490000
9,0,4_WW2f,WW,4,2,42.165181708799999,3.093965994410000
10,0,4_OW2i,OW,4,2,42.165376712799997,3.093977858110000
11,0,4_OW2f,OW,4,2,42.165452527299998,3.093992729350000
12,0,6_OW3i,OW,6,3,42.164937150999997,3.094045553260000
13,0,6_OW3f,OW,6,3,42.164986235199997,3.094044996700000
14,0,6_WD3i,WD,6,3,42.165105354399998,3.094054976800000
15,0,6_WD3f,WD,6,3,42.165157918200002,3.094054716140000
16,0,6_WW3i,WW,6,3,42.165308646000000,3.094068976640000
17,0,6_WW3f,WW,6,3,42.165349700699998,3.094060125330000
18,0,8_OW4i,OW,8,4,42.165011045800000,3.094135644480000
19,0,8_OW4f,OW,8,4,42.165061115599997,3.094142645560000
20,0,8_WW4i,WW,8,4,42.165193230299998,3.094161191660000
21,0,8_WW4f,WW,8,4,42.165244977100002,3.094161471740000
22,0,8_WD4i,WD,8,4,42.165323121599997,3.094164894890000
23,0,8_WD4f,WD,8,4,42.165375770099999,3.094171997610000
24,0,10_WD5i,WD,10,5,42.164913404499998,3.094226086600000
25,0,10_WD5f,WD,10,5,42.164970876900000,3.094230508350000
26,0,10_OW5i,OW,10,5,42.165099407200003,3.094237380320000
27,0,10_OW5f,OW,10,5,42.165148569599999,3.094240191300000
28,0,10_WW5i,WW,10,5,42.165218159699997,3.094245482900000
29,0,10_WW5f,WW,10,5,42.165276226600000,3.094251173130000
30,0,12_WW6i,WW,12,6,42.164906341100000,3.094315340930000
31,0,12_WW6f,WW,12,6,42.164963567900003,3.094318909540000
32,0,12_WD6i,WD,12,6,42.165155791200000,3.094340823690000
33,0,12_WD6f,WD,12,6,42.165205753499997,3.094339964910000
34,0,12_OW6i,OW,12,6,42.165375872600002,3.094352281010000
35,0,12_OW6f,OW,12,6,42.165429135700002,3.094358690060000
